index,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_abstractions,SPACER_num_abstractions_failed,SPACER_num_abstractions_success,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_num_under_approximations,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0000.smt2,,,,,,1,1,,,,,2,,,,2,1,,3,,,,,,,3,1,2,,,,,,,,,17.84,6.41,sat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
chc-lia-0001.smt2,,,22,5,1,24,24,,19,17,1,24,,24,12,6,101,3,56,,4,8,,,,18,34,42,,19,,,,1,12,,25.00,10.52,sat,0.29,0.02,0.00,0.01,0.00,0.00,0.06,0.03,,0.00,0.00,0.00,0.00,0.28,0.02,,0.13,0.01,0.02,0.00,0.04,0.00,0.04,0.01
chc-lia-0002.smt2,,,100,50,1,102,102,,20,,,155,5048,5127,95,61,6906,5,5392,,10,31,,,,284,1506,5394,,39,,,,20,141,37,466.92,298.03,sat,123.13,2.55,0.70,1.31,0.16,0.50,104.37,45.41,,0.25,0.00,0.00,0.79,122.89,4.83,,117.67,2.63,3.90,34.43,7.89,0.00,7.89,0.19
chc-lia-0003.smt2,,,,,,5,5,,,,,5,,8,,15,16,,30,,,,,,3,16,1,18,,,,,6,,,,22.44,9.44,sat,0.09,0.01,0.00,0.00,0.00,0.00,0.03,0.01,,0.00,0.00,0.00,0.00,0.07,0.00,,0.05,0.00,0.01,0.01,0.00,,0.00,
chc-lia-0004.smt2,,1301,199,98,3,199,199,62,110,107,,203,,3098,6956,17,8151,20,7815,,157,3309,,,,560,2596,7982,,7195,,111,,18,1029,1,724.84,522.29,sat,462.96,10.71,2.08,6.94,1.18,1.20,356.57,117.09,33.84,0.35,0.00,0.00,3.05,462.66,25.23,,436.34,7.72,11.38,0.08,187.86,0.08,187.86,1.32
chc-lia-0005.smt2,,177,74,24,2,77,77,,38,35,1,78,,294,645,20,1637,17,920,,47,410,,,,162,800,916,,739,,25,,,431,,129.28,81.37,sat,9.64,0.60,0.14,0.30,0.10,0.10,5.07,2.15,0.57,0.03,0.00,0.00,0.16,9.58,0.91,,8.27,0.41,0.64,0.00,3.80,0.01,3.80,0.05
chc-lia-0006.smt2,,,,,,4,4,,,,,5,,5,,7,10,,18,,,,,,2,9,1,10,,,,,3,,,,20.24,7.96,sat,0.05,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.04,0.00,,0.03,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0007.smt2,,,,3,1,22,22,,90,83,,18,,121,121,17,237,,165,,1,2,,,,28,50,142,84,,83,,,7,,,62.48,35.56,sat,2.17,0.33,0.09,0.16,0.02,0.12,1.11,0.70,,0.00,0.00,0.00,0.03,2.13,0.09,,1.93,0.05,0.13,0.38,0.41,0.00,0.41,0.17
chc-lia-0008.smt2,,,,5,1,7,7,,5,5,,7,,8,2,13,45,,33,,,,,,3,20,21,22,,,,,5,,,,24.60,10.30,sat,0.13,0.01,0.00,0.01,0.00,0.00,0.04,0.02,,0.00,0.00,0.00,0.00,0.12,0.01,,0.08,0.01,0.01,0.01,0.01,0.00,0.01,0.00
chc-lia-0009.smt2,,951,,716,1,12,11,,,,,236,29,395,,,835,,802,,46,10,,,713,309,17,824,1,40,1,,425,,,,,166.65,timeout,599.10,1.06,0.47,0.69,0.03,0.21,50.08,19.68,24.24,0.07,0.00,0.00,0.14,594.29,7.63,,586.61,0.91,264.61,15.61,277.85,0.00,277.85,0.77
chc-lia-0010.smt2,,,,3,,8,8,,1,1,,7,,15,,34,62,3,59,,,,,,5,36,24,38,1,,1,,14,,,,32.36,15.52,sat,0.26,0.03,0.01,0.01,0.01,0.01,0.10,0.06,,0.00,0.00,0.00,0.01,0.23,0.02,,0.19,0.01,0.03,0.04,0.01,,0.01,0.00
chc-lia-0012.smt2,,,1,3,,9,9,,1,1,,8,,28,,26,73,1,57,,,,,,2,18,11,42,,,,,6,,,,33.32,15.58,sat,0.28,0.03,0.01,0.01,0.01,0.01,0.13,0.07,0.02,0.00,0.00,0.00,0.01,0.26,0.03,,0.20,0.01,0.02,0.06,0.00,,0.00,0.00
chc-lia-0013.smt2,,,,4,3,6,6,4,2,2,,32,,33,4,27,145,1,79,,10,25,3,,,42,43,67,6,4,4,4,,,,,51.60,27.07,sat,0.77,0.14,0.06,0.08,0.02,0.03,0.40,0.25,,0.00,0.00,0.00,0.01,0.74,0.07,,0.64,0.02,0.07,0.17,0.06,0.00,0.06,0.01
chc-lia-0014.smt2,,,,2,,91,90,,1,,,319,6018,7344,,7,19883,4,6133,,,,,,,291,5877,6311,259,,259,,,,,,,174.03,timeout,592.99,16.44,3.38,8.65,0.95,5.00,524.57,260.87,39.18,2.13,0.00,0.00,2.79,577.56,84.79,,492.34,7.53,9.23,217.02,10.07,,10.07,2.94
chc-lia-0015.smt2,,,,6,2,7,7,,,,,6,,18,1,22,50,,44,,,,,,9,25,15,33,,,,1,5,,,,29.20,11.54,sat,0.18,0.02,0.00,0.01,0.00,0.00,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.15,0.01,,0.11,0.01,0.02,0.01,0.01,0.00,0.01,
chc-lia-0016.smt2,,70,,41,6,92,91,298,152,114,70,905,29,874,283,4,20090,591,1692,,253,1242,88,16,76,1972,15428,3247,177,317,171,402,31,82,136,17,,433.36,timeout,595.03,4.21,1.39,2.39,0.61,0.83,416.89,264.82,12.23,2.11,0.00,0.00,0.62,442.69,141.51,,300.64,4.08,5.34,81.17,44.93,0.01,44.93,6.65
chc-lia-0017.smt2,,,,3,1,5,5,,,,,9,,7,1,8,30,,22,,1,4,,,,10,13,15,,,,,,,,,25.80,9.50,sat,0.08,0.01,0.00,0.00,0.00,0.00,0.02,0.01,,0.00,0.00,0.00,0.00,0.06,0.01,,0.04,0.00,0.01,0.00,0.00,0.00,0.00,
chc-lia-0018.smt2,,1868,,913,2,119,118,,220,25,148,387,1,2392,1511,2,10035,38,2377,,200,81,10,,,467,3473,3240,86,1954,25,413,,33,,,,213.11,timeout,598.37,5.82,1.83,3.22,0.67,1.34,77.50,10.49,37.09,0.27,0.00,0.00,1.14,496.18,22.60,,472.89,2.94,193.77,0.34,232.06,0.04,232.06,2.41
chc-lia-0019.smt2,,,4,,,7,7,,,,,14,,14,,7,41,,30,,,,,,,29,13,42,12,,11,,,,,,30.84,12.21,sat,0.27,0.01,0.00,0.01,0.00,0.00,0.16,0.08,0.04,0.00,0.00,0.00,0.01,0.24,0.03,,0.18,0.01,0.00,0.05,0.00,,0.00,0.01
chc-lia-0020.smt2,,73,,249,2,105,104,,125,110,22,352,100,3089,6,76,22515,77,3148,,23,40,1,1,1166,394,9799,3079,164,1561,114,121,54,3,18,8,,286.76,timeout,587.78,26.82,9.92,15.58,4.85,4.62,444.47,269.36,5.42,4.44,0.00,0.00,1.40,572.21,211.18,,360.35,5.42,57.14,60.18,31.93,0.00,31.93,1.92
chc-lia-0021.smt2,,,,3,1,5,5,,,,,14,,7,2,14,57,1,34,,2,8,,,,18,33,26,,,,,,,,,32.44,13.68,sat,0.13,0.01,0.00,0.00,0.00,0.00,0.05,0.02,,0.00,0.00,0.00,0.00,0.11,0.02,,0.08,0.01,0.01,0.02,0.01,0.00,0.01,
chc-lia-0022.smt2,,,19,5,1,23,23,,20,18,3,23,18,50,3,9,104,2,84,,3,22,,,,47,25,75,20,20,18,,,2,,,34.24,15.00,sat,0.36,0.04,0.01,0.02,0.01,0.01,0.10,0.04,,0.00,0.00,0.00,0.01,0.34,0.02,,0.23,0.02,0.03,0.00,0.03,0.00,0.03,0.01
chc-lia-0023.smt2,,,3,7,1,10,10,,6,6,,24,,46,5,37,216,7,83,,6,16,1,,3,48,125,72,7,3,7,,,,,,49.80,24.84,sat,0.46,0.06,0.02,0.03,0.01,0.01,0.20,0.09,0.00,0.00,0.00,0.00,0.01,0.43,0.06,,0.33,0.02,0.04,0.05,0.03,0.00,0.03,0.01
chc-lia-0024.smt2,,,,5,1,7,7,,6,6,,19,,14,2,16,78,1,45,,2,9,,,,21,39,35,3,,3,,,,,,30.96,12.40,sat,0.17,0.02,0.00,0.01,0.00,0.00,0.06,0.03,,0.00,0.00,0.00,0.00,0.15,0.02,,0.10,0.01,0.01,0.01,0.01,0.00,0.01,0.00
chc-lia-0025.smt2,,12,,10,1,27,26,,27,,3,38,,47,9,4,236,6,81,,6,14,,,,126,114,214,,14,,,,16,20,,,,,,0.03,0.01,0.01,0.01,0.01,0.20,0.10,0.00,0.00,0.00,0.00,0.03,0.54,0.06,,0.37,0.07,0.03,0.00,0.05,0.00,0.05,0.01
chc-lia-0026.smt2,,17,5,10,3,12,12,6,6,5,,15,2,40,6,112,538,1,168,,6,14,,,33,138,343,118,6,,6,6,35,,18,2,128.68,70.73,sat,2.42,0.21,0.07,0.10,0.04,0.05,1.52,0.92,0.08,0.01,0.00,0.00,0.02,2.33,0.38,,1.89,0.05,0.24,0.60,0.20,0.00,0.20,0.03
chc-lia-0027.smt2,,,,4,1,8,8,,,,,11,,11,7,13,50,3,30,,3,11,,,,18,22,24,,1,,,,,,,30.32,12.17,sat,0.15,0.01,0.00,0.01,0.00,0.00,0.05,0.02,,0.00,0.00,0.00,0.00,0.13,0.01,,0.09,0.01,0.01,0.02,0.01,0.00,0.01,
chc-lia-0028.smt2,,80,,58,4,14,13,432,46,15,44,1271,,599,63,96,5534,6,1415,,192,117,158,87,463,1584,2543,1105,186,42,183,566,379,6,111,28,,606.72,timeout,594.57,22.41,9.76,15.49,1.09,4.66,458.18,333.85,23.62,4.33,0.00,0.00,0.22,510.28,171.30,,338.92,2.46,9.83,152.64,55.16,0.01,55.16,7.22
chc-lia-0029.smt2,,,4,6,1,7,7,,2,2,,11,2,10,5,12,44,2,29,,5,2,,,,11,16,20,2,3,2,,,,,,29.88,11.69,sat,0.14,0.01,0.00,0.00,0.00,0.00,0.04,0.02,0.00,0.00,0.00,0.00,0.00,0.12,0.01,,0.08,0.00,0.01,0.01,0.02,0.00,0.02,0.00
