index,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_abstractions,SPACER_num_abstractions_failed,SPACER_num_abstractions_success,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_num_under_approximations,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0000.smt2,,,,,,1,1,,,,,2,,,,2,1,,3,,,,,,,3,1,2,,,,,,,,,17.84,6.41,sat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
chc-lia-0001.smt2,,,12,6,1,12,12,,38,27,9,14,,25,16,13,148,10,91,,5,39,,,,52,78,76,,30,,,,2,21,,30.72,14.87,sat,0.34,0.03,0.01,0.01,0.01,0.01,0.10,0.05,,0.00,0.00,0.00,0.01,0.32,0.03,,0.24,0.02,0.04,0.00,0.06,0.00,0.06,0.01
chc-lia-0002.smt2,,,100,50,1,102,102,,20,,,155,5048,5127,95,62,6957,5,5392,,10,31,,,,284,1557,5394,,39,,,,20,141,37,467.04,298.19,sat,123.46,2.48,0.69,1.28,0.15,0.51,104.98,45.62,,0.24,0.00,0.00,0.75,123.24,4.81,,118.06,2.55,3.88,34.70,7.89,0.00,7.89,0.20
chc-lia-0003.smt2,,,,7,1,8,8,,1,1,,5,2,26,2,23,46,1,59,,1,1,,,10,28,5,41,,,,,12,,,,29.60,13.57,sat,0.22,0.02,0.01,0.01,0.00,0.01,0.08,0.04,0.00,0.00,0.00,0.00,0.01,0.20,0.01,,0.16,0.01,0.02,0.02,0.02,0.00,0.02,0.00
chc-lia-0004.smt2,,10,8,4,1,8,8,,19,19,,12,,16,2,8,76,2,48,,2,11,,,,25,41,38,,9,,,,,,,24.52,10.56,sat,0.20,0.02,0.00,0.01,0.00,0.00,0.06,0.02,0.01,0.00,0.00,0.00,0.01,0.19,0.02,,0.13,0.01,0.02,0.00,0.02,0.00,0.02,0.01
chc-lia-0005.smt2,,13,8,4,1,8,8,,19,17,,12,,17,2,8,76,2,48,,2,11,,,,25,41,38,,9,,,,,,,24.52,10.56,sat,0.17,0.01,0.00,0.01,0.00,0.00,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.16,0.02,,0.11,0.01,0.02,0.00,0.02,0.00,0.02,0.01
chc-lia-0006.smt2,,,,,,5,5,,10,4,7,5,,9,,27,18,,41,,,,,,2,32,4,18,2,,2,,12,,,,25.08,10.78,sat,0.15,0.01,0.00,0.01,0.00,0.00,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.13,0.00,,0.10,0.01,0.02,0.01,0.01,,0.01,0.00
chc-lia-0007.smt2,,,,3,1,18,18,,56,51,,16,,81,81,15,177,,119,,1,2,,,,24,42,100,52,,51,,,5,,,48.96,25.58,sat,1.27,0.18,0.05,0.09,0.01,0.06,0.62,0.39,,0.00,0.00,0.00,0.02,1.24,0.06,,1.10,0.03,0.08,0.21,0.25,0.00,0.25,0.09
chc-lia-0008.smt2,,,,4,1,5,5,,1,1,,7,,9,3,13,32,,32,,1,1,,,2,20,14,21,,,,,5,,,,23.40,9.81,sat,0.11,0.01,0.00,0.00,0.00,0.00,0.03,0.02,,0.00,0.00,0.00,0.00,0.09,0.01,,0.07,0.01,0.01,0.01,0.01,0.00,0.01,0.00
chc-lia-0009.smt2,,951,,716,1,12,11,,,,,236,29,395,,,835,,802,,46,10,,,713,309,17,824,1,40,1,,425,,,,,166.83,timeout,599.72,1.04,0.46,0.67,0.03,0.21,49.45,19.34,24.03,0.06,0.00,0.00,0.14,592.22,7.41,,584.76,0.91,263.85,15.51,277.16,0.00,277.16,0.75
chc-lia-0010.smt2,,,,,,9,9,,,,,5,,35,,13,45,1,58,,,,,,4,15,1,45,,,,,4,,,,24.04,10.31,sat,0.17,0.02,0.01,0.01,0.00,0.01,0.05,0.02,0.00,0.00,0.00,0.00,0.01,0.15,0.01,,0.11,0.01,0.01,0.00,0.00,,0.00,
chc-lia-0012.smt2,,32,,10,3,15,15,1,29,20,1,9,9,64,8,111,533,39,177,,22,27,2,,28,137,250,174,22,12,22,4,24,2,3,,100.24,52.65,sat,3.27,0.20,0.06,0.10,0.03,0.05,2.17,1.25,0.27,0.02,0.00,0.00,0.04,3.17,0.54,,2.55,0.11,0.27,0.66,0.25,0.00,0.25,0.13
chc-lia-0013.smt2,,,,6,3,6,6,2,,,,28,,36,6,17,124,,62,,6,16,2,,,39,42,53,3,,1,2,,,,,45.52,23.34,sat,0.50,0.07,0.03,0.04,0.00,0.01,0.25,0.16,,0.00,0.00,0.00,0.01,0.47,0.05,,0.40,0.02,0.05,0.11,0.05,0.00,0.05,0.01
chc-lia-0014.smt2,,,,2,,89,88,,,,,273,5754,7027,,6,15985,2,5865,,,,,,,337,4104,6238,453,,453,,,,,,,172.67,timeout,593.38,15.40,3.29,7.59,0.83,5.23,522.11,240.97,60.20,1.37,0.00,0.00,2.89,572.56,59.45,,512.70,7.48,8.86,218.27,9.69,,9.69,12.90
chc-lia-0015.smt2,,2,1,5,1,8,8,,4,1,7,8,,25,,36,222,,69,,,,,,19,46,158,55,2,2,2,,6,,4,,41.40,20.57,sat,0.29,0.03,0.01,0.01,0.00,0.01,0.11,0.04,0.00,0.00,0.00,0.00,0.01,0.26,0.06,,0.17,0.01,0.03,0.01,0.03,0.00,0.03,0.00
chc-lia-0016.smt2,,161,,54,6,86,85,275,188,86,380,943,2,1536,419,4,22663,467,2032,,332,1312,44,8,97,3316,17419,4893,107,385,100,364,14,95,107,8,,428.42,timeout,596.90,4.97,1.77,3.10,0.52,0.92,538.46,329.27,6.32,1.88,0.00,0.00,0.88,573.63,136.77,,436.35,5.45,9.90,97.73,61.07,0.01,61.07,7.52
chc-lia-0017.smt2,,,,3,1,5,5,,,,,9,,7,1,8,30,,22,,1,4,,,,10,13,15,,,,,,,,,25.68,9.40,sat,0.08,0.01,0.00,0.00,0.00,0.00,0.02,0.01,,0.00,0.00,0.00,0.00,0.06,0.01,,0.04,0.00,0.00,0.00,0.00,0.00,0.00,
chc-lia-0018.smt2,,2971,,842,2,114,113,,291,39,258,427,4,2675,2390,65,10390,66,3253,,299,165,18,,,675,3209,4183,92,2760,37,292,,34,,,,230.43,timeout,597.01,7.11,2.11,3.95,0.78,1.61,115.84,12.09,57.20,0.42,0.00,0.00,1.40,495.36,28.39,,466.29,4.10,143.24,0.19,251.23,0.06,251.23,3.69
chc-lia-0019.smt2,,,4,,,7,7,,,,,14,,14,,7,41,,30,,,,,,,29,13,42,12,,11,,,,,,31.36,12.31,sat,0.29,0.01,0.00,0.01,0.00,0.00,0.17,0.08,0.04,0.00,0.00,0.00,0.01,0.26,0.03,,0.19,0.01,0.00,0.04,0.00,,0.00,0.01
