index,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_abstractions,SPACER_num_abstractions_failed,SPACER_num_abstractions_success,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_num_under_approximations,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0000.smt2,,,,,,1,1,,,,,2,,,,2,1,,3,,,,,,,3,1,2,,,,,,,,,17.76,6.37,sat,0.02,0.00,0.00,0.00,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
chc-lia-0001.smt2,,,8,3,1,8,8,,19,18,3,10,,15,1,5,67,,37,,1,9,,,,21,37,28,,3,,,,,,,23.04,9.78,sat,0.11,0.03,0.01,,0.00,0.00,0.00,0.00,0.10,0.01,,0.06,0.01,0.01,0.00,0.01,0.00,0.01,0.01
chc-lia-0002.smt2,,,100,55,1,102,102,,20,,,155,5048,5123,90,71,7391,5,5430,,20,69,3,,,616,1991,5716,49,39,3,,,27,141,37,566.52,339.11,sat,124.63,107.43,47.93,,0.25,0.00,0.00,0.86,124.36,5.15,,118.88,2.88,4.18,33.26,9.61,0.00,9.61,0.85
chc-lia-0003.smt2,,,,,1,7,7,,1,1,,4,,20,,16,29,,46,,,,,,2,20,2,34,,,,,4,,4,,24.08,10.13,sat,0.11,0.04,0.02,,0.00,0.00,0.00,0.00,0.10,0.00,,0.07,0.01,0.01,0.00,0.01,0.00,0.01,0.00
chc-lia-0004.smt2,,10,6,4,1,7,7,,19,19,,10,,14,2,9,67,,43,,2,6,,,,23,30,36,,9,,,,,,,23.24,9.81,sat,0.13,0.04,0.02,0.00,0.00,0.00,0.00,0.00,0.12,0.01,,0.08,0.01,0.01,0.00,0.01,0.00,0.01,0.01
chc-lia-0005.smt2,,11,6,4,1,7,7,,19,17,,10,,15,2,9,67,,43,,2,6,,,,23,30,36,,9,,,,,,,23.28,9.81,sat,0.14,0.05,0.02,0.01,0.00,0.00,0.00,0.00,0.12,0.01,,0.08,0.01,0.01,0.00,0.01,0.00,0.01,0.01
chc-lia-0006.smt2,,,,3,,5,5,,6,3,5,5,,9,,27,18,3,41,,,,,,3,32,4,22,3,,3,,12,,,,25.20,10.99,sat,0.12,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.11,0.00,,0.09,0.01,0.01,0.01,0.01,,0.01,0.00
chc-lia-0007.smt2,,,,3,1,5,5,,,,,11,,9,1,11,44,,33,,2,4,,,,13,18,25,,,,,,,2,,25.00,10.62,sat,0.13,0.05,0.03,,0.00,0.00,0.00,0.00,0.11,0.01,,0.08,0.01,0.01,0.02,0.01,0.00,0.01,
chc-lia-0008.smt2,,,,4,1,5,5,,1,1,,7,,9,1,11,25,3,31,,1,1,,,2,18,7,21,,,,,3,,,,21.92,8.72,sat,0.12,0.04,0.02,,0.00,0.00,0.00,0.00,0.10,0.01,,0.07,0.01,0.01,0.01,0.01,0.00,0.01,0.00
chc-lia-0009.smt2,,965,,716,1,12,11,,,,,235,29,432,,,831,,798,,41,6,,,713,287,17,841,1,36,1,,425,,,,,153.37,timeout,599.39,42.23,16.35,20.58,0.06,0.00,0.00,0.14,582.67,5.40,,577.21,0.91,262.47,13.20,277.19,0.00,277.19,0.89
chc-lia-0010.smt2,,,,,1,9,9,,,,,5,,35,1,16,46,1,60,,,,,,2,16,2,45,,,,,5,,,,25.08,10.69,sat,0.14,0.05,0.02,0.00,0.00,0.00,0.00,0.01,0.12,0.01,,0.09,0.01,0.01,0.01,0.01,0.00,0.01,
chc-lia-0012.smt2,,223,1,33,4,17,17,19,24,15,3,21,1,294,63,400,2421,45,645,,56,18,16,,378,514,802,548,25,25,25,33,83,1,9,3,364.84,190.30,sat,29.23,22.35,9.29,8.71,0.32,0.00,0.00,0.12,28.45,8.03,,20.33,0.51,2.49,7.82,3.16,0.00,3.16,0.36
chc-lia-0013.smt2,,,,5,1,6,6,,,,,33,,34,10,33,155,,85,,18,25,11,,,51,55,72,12,6,11,,,,,,51.16,26.90,sat,0.66,0.40,0.25,,0.01,0.00,0.00,0.01,0.63,0.08,,0.53,0.03,0.09,0.15,0.07,0.00,0.07,0.02
chc-lia-0014.smt2,,,,2,,89,88,,,,,271,5755,7096,,8,15401,2,5865,,,,,,,302,3818,6081,292,,292,,,,,,,167.15,timeout,593.61,519.38,264.82,50.00,1.37,0.00,0.00,2.76,554.66,54.59,,499.70,7.11,9.38,248.22,10.41,,10.41,4.76
chc-lia-0015.smt2,,,1,10,2,11,11,,8,,12,8,2,37,,44,357,,100,,2,2,,,14,69,232,92,,2,,3,11,3,4,2,50.84,25.04,sat,0.44,0.21,0.09,0.01,0.00,0.00,0.00,0.01,0.41,0.11,,0.26,0.02,0.05,0.02,0.04,0.00,0.04,0.00
chc-lia-0016.smt2,,21,,29,6,95,94,317,260,159,557,1010,7,3409,332,1,25539,1539,2373,,252,1698,89,21,12,2589,19133,3533,229,414,187,765,,72,194,15,,465.78,timeout,596.25,492.40,283.05,7.26,1.47,0.00,0.00,0.63,520.15,127.72,,391.90,4.28,8.37,113.99,77.98,0.01,77.98,8.79
chc-lia-0017.smt2,,,,3,1,5,5,,,,,9,,7,,8,30,,22,,1,4,,,,10,13,15,,,,,,,,,25.44,9.29,sat,0.09,0.03,0.01,,0.00,0.00,0.00,0.00,0.07,0.01,,0.04,0.00,0.01,0.01,0.00,0.00,0.00,
chc-lia-0018.smt2,,3032,,903,4,125,124,8,620,79,475,519,169,3914,2193,65,11950,141,3393,,294,372,38,,,881,4043,4370,133,2601,77,367,,34,,,,251.02,timeout,597.84,127.21,31.70,44.06,0.91,0.00,0.00,1.46,524.10,25.99,,497.40,4.43,170.47,1.22,248.84,0.05,248.84,6.94
chc-lia-0019.smt2,,,4,,,7,7,,,,,14,,13,,7,41,,30,,,,,,,29,13,42,12,,11,,,,,,32.24,12.65,sat,0.30,0.21,0.11,0.04,0.00,0.00,0.00,0.01,0.27,0.06,,0.18,0.01,0.00,0.05,0.00,,0.00,0.01
