index,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,result,time,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
chc-lia-0000.smt2,,,1,1,2,,2,1,,3,3,1,2,,,16.56,6.07,sat,0.02,0.00,0.00,0.00,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00
chc-lia-0001.smt2,,,,178,179,15930,,16109,,16110,179,,15931,,,,177.07,timeout,592.85,569.27,162.16,,0.61,0.00,0.00,2.01,592.61,1.90,,590.17,10.23,0.12,
chc-lia-0002.smt2,,,102,102,253,5124,103,8103,,5406,203,2703,5303,,,575.32,395.00,sat,131.03,123.88,42.61,,0.25,0.00,0.00,0.77,130.67,28.59,,101.78,2.51,34.90,
chc-lia-0003.smt2,,,163,162,163,13202,,13365,,13366,163,,13203,,,,200.52,timeout,593.40,540.03,144.14,0.46,1.04,0.00,0.00,13.78,584.41,4.60,,579.29,31.13,0.12,
chc-lia-0004.smt2,,,166,165,167,4729,1,13863,,13862,167,3,13696,,,,148.73,timeout,592.00,553.79,44.38,179.21,0.43,0.00,0.00,6.97,585.77,94.43,,490.81,18.70,0.12,
chc-lia-0005.smt2,,,169,168,170,4899,1,14367,,14366,170,3,14197,,,,151.96,timeout,591.72,547.28,43.49,177.19,0.44,0.00,0.00,7.15,579.93,93.90,,485.48,19.29,0.12,
chc-lia-0006.smt2,,,25,24,25,112,,324,,325,27,,311,11,11,,58.80,timeout,599.92,519.17,513.87,3.66,0.00,0.00,0.00,0.08,519.56,2.57,,516.91,0.15,0.00,0.04
chc-lia-0007.smt2,,,,93,371,8519,,8927,,8836,187,,8742,,,,163.75,timeout,594.08,566.62,316.93,,0.85,0.00,0.00,1.35,581.31,3.66,,577.36,6.81,287.85,
chc-lia-0008.smt2,,,,161,162,13040,,13202,,13203,162,,13041,,,,213.68,timeout,593.26,563.26,124.11,,1.16,0.00,0.00,2.10,586.14,5.13,,580.53,11.33,0.10,
chc-lia-0009.smt2,,,18,17,834,2879,,4046,,4047,1381,,4249,,,,644.39,timeout,595.36,517.21,206.66,207.87,1.02,0.00,0.00,0.81,534.60,39.15,,495.39,13.56,190.83,5.44
chc-lia-0010.smt2,,,169,168,169,14195,,14364,,14365,177,,14255,59,59,,232.31,timeout,593.12,536.02,171.61,28.71,1.15,0.00,0.00,16.57,589.94,4.06,,585.25,39.77,0.11,0.75
chc-lia-0012.smt2,,,81,80,799,10294,,37820,965,3321,89,12579,3244,1,1,,347.79,timeout,596.48,560.84,384.27,17.25,11.82,0.00,0.00,1.98,584.27,317.99,,265.97,6.02,137.72,0.11
chc-lia-0013.smt2,,,,29,1188,7545,,9158,,5770,942,10,5740,,,,241.47,timeout,595.04,472.63,339.62,,2.37,0.00,0.00,0.99,485.67,19.49,,466.09,5.66,313.23,
chc-lia-0014.smt2,,,94,93,287,7979,8,17111,2,6592,354,4174,6894,381,381,,183.39,timeout,594.61,568.27,283.19,62.76,1.54,0.00,0.00,3.14,585.66,56.88,,528.43,8.19,270.09,8.94
chc-lia-0015.smt2,,,92,91,189,4184,,13741,,4286,188,4775,4194,,,,1188.71,timeout,595.50,118.18,26.75,2.27,1.17,0.00,0.00,0.55,124.99,47.19,,77.47,2.09,0.03,
chc-lia-0016.smt2,,,,126,310,6100,1,25303,136,6389,123,10156,6274,,,,240.82,timeout,593.76,578.32,366.24,,1.74,0.00,0.00,1.18,591.26,137.25,,453.62,4.47,189.36,
chc-lia-0017.smt2,,,,220,441,12211,110,13201,108,12542,222,549,12321,,,,172.18,timeout,593.45,573.73,335.25,,0.82,0.00,0.00,1.49,592.32,4.07,,587.55,7.42,234.57,
chc-lia-0018.smt2,,,131,131,262,8517,197,17931,,8715,197,8771,8583,,,1075.96,793.40,sat,178.70,162.25,23.20,,0.48,0.00,0.00,3.37,178.00,62.66,,114.93,8.66,3.01,
chc-lia-0019.smt2,,4,7,7,14,13,7,41,,30,29,13,42,12,11,31.00,12.35,sat,0.28,0.20,0.11,0.04,0.00,0.00,0.00,0.01,0.26,0.06,,0.17,0.01,0.05,0.01
chc-lia-0020.smt2,,,146,145,441,17217,,33238,36,7838,586,13388,7833,120,49,,438.38,timeout,594.59,567.93,163.65,30.72,3.04,0.00,0.00,3.58,590.30,185.43,,404.32,11.07,76.68,2.67
chc-lia-0021.smt2,,,,137,548,9542,137,10552,134,9864,276,417,9726,,,,187.54,timeout,594.30,556.40,311.09,,0.76,0.00,0.00,1.51,571.46,4.27,,566.75,6.30,282.40,
