index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_concretize,SPACER_conj,SPACER_conj_failed,SPACER_conj_success,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_non_local_gen,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_reach_queries,SPACER_num_sync_cvx_cls,SPACER_pob_out_of_gas,SPACER_queries,SPACER_reuse_reach_facts,SPACER_subsume_failed,SPACER_subsume_pob,SPACER_subsume_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_global,time_spacer_solve_reach_gen_global_cvx_cls,time_spacer_solve_reach_is_reach
chc-lia-nonlin-0000.smt2,,,,,,,,,,,1,1,,,3,,,,3,2,,4,,3,2,,,,2,,,,,17.84,6.47,sat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0001.smt2,,,,,,,,,,,1,1,,,3,,,,3,2,,4,,3,2,,,,2,,,,,17.88,6.48,sat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0002.smt2,,,,,,,,,,,1,1,,,3,,,,3,2,,4,,3,2,,,,2,,,,,17.88,6.48,sat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0003.smt2,2,,,,,,,,,,2,2,,,2,,,,,2,,3,,2,,2,,,2,1,,,,30.76,7.20,unsat,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,,,,0.00
chc-lia-nonlin-0004.smt2,,,4,1,1,,7,3,2,,6,6,,,8,4,4,,9,17,,23,2,15,3,5,,,18,15,,,,26.88,10.63,sat,0.11,0.01,0.00,0.00,0.00,0.00,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.09,0.00,,0.06,0.00,0.01,0.01,0.00,,0.00
chc-lia-nonlin-0005.smt2,,,,,,,3,2,1,,4,4,,,5,1,1,,3,7,,10,,4,1,2,,,7,4,,,,22.88,8.03,sat,0.05,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,,0.02,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0006.smt2,,1292,,28,4,12,,,433,1,441,440,,435,897,,100030,439,448,101815,876,1337,,1340,897,440,,,894,888,439,439,,390.00,389.59,timeout,597.68,53.80,19.94,34.93,1.13,14.88,80.76,37.66,,67.67,0.00,0.00,1.73,594.95,84.82,17.92,507.66,6.14,188.51,4.08,189.91,0.01,0.00
chc-lia-nonlin-0007.smt2,,306,,32,6,12,,62,55,1,62,62,,110,127,,3752,112,125,4373,41,309,,311,439,118,,,245,241,112,112,,252.76,145.24,sat,8.52,1.62,0.68,0.99,0.05,0.48,2.80,1.15,,0.67,0.00,0.00,0.13,8.34,1.41,0.25,6.61,0.40,0.98,0.41,1.17,0.00,0.02
chc-lia-nonlin-0008.smt2,,,,3,2,1,,5,1,,5,5,,,11,1,4,,3,25,,20,,13,7,4,,,14,11,,,,27.24,10.59,sat,0.08,0.01,0.00,0.00,0.00,0.00,0.02,0.01,,0.00,0.00,0.00,0.00,0.06,0.01,0.00,0.04,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0009.smt2,2,,,,,,,,,,2,2,,,3,,,,,2,,4,,3,,2,,,3,1,,,,30.92,7.34,unsat,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0010.smt2,,,,,,,,2,,,3,3,,,5,,,,3,8,,8,,3,4,,,,4,,,,,22.64,7.99,sat,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0011.smt2,,,,,,,,,,,2,2,,,3,,,,3,3,,6,,3,1,,,,3,1,,,,18.72,6.88,sat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,
