index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_concretize,SPACER_conj,SPACER_conj_failed,SPACER_conj_success,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_non_local_gen,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_reach_queries,SPACER_num_sync_cvx_cls,SPACER_pob_out_of_gas,SPACER_queries,SPACER_reuse_reach_facts,SPACER_subsume_failed,SPACER_subsume_pob,SPACER_subsume_success,max_memory,memory,result,time,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_global,time_spacer_solve_reach_gen_global_cvx_cls,time_spacer_solve_reach_is_reach
chc-lia-nonlin-0000.smt2,,,,,,,,,,,1,1,,,3,,,,3,2,,4,,,3,2,,,,2,,,,,17.84,6.47,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0001.smt2,,,,,,,,,,,1,1,,,3,,,,3,2,,4,,,3,2,,,,2,,,,,17.88,6.48,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0002.smt2,,,,,,,,,,,1,1,,,3,,,,3,2,,4,,,3,2,,,,2,,,,,17.88,6.48,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0003.smt2,2,,,,,,,,,,2,2,,,2,,,,,2,,3,,,2,,2,,,2,1,,,,30.76,7.20,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,,,,0.00
chc-lia-nonlin-0004.smt2,,,11,,,,3,1,6,2,5,5,,,6,,2,,21,61,,31,,5,31,44,2,8,,16,12,4,8,,32.64,14.32,sat,0.14,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.12,0.02,,0.09,0.01,0.01,0.01,0.02,0.00,0.00
chc-lia-nonlin-0005.smt2,,,,,,,2,1,,,3,3,,,4,,,,3,5,,8,,,4,1,1,,,5,2,,,,22.40,7.83,sat,0.03,0.01,0.00,0.00,,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0006.smt2,,1361,,38,,15,,,454,1,463,462,,456,959,,115137,452,477,117037,919,1421,,,1421,957,462,,,952,939,468,468,,480.15,478.83,timeout,598.03,93.41,40.27,,87.72,0.00,0.00,2.13,596.01,106.16,18.04,487.56,6.82,200.14,5.69,201.05,0.01,
chc-lia-nonlin-0007.smt2,,9,,46,,21,,12,7,1,12,12,,6,27,,169,2,26,308,18,72,,,73,96,19,,,46,44,12,12,,49.36,24.74,sat,0.38,0.16,0.07,,0.01,0.00,0.00,0.01,0.35,0.06,0.01,0.24,0.02,0.03,0.03,0.04,0.00,
chc-lia-nonlin-0008.smt2,,,,1,1,2,,4,2,1,5,5,,,9,,3,3,8,33,,22,,,20,18,9,,,17,18,,3,3,29.84,11.91,sat,0.09,0.03,0.02,,0.00,0.00,0.00,0.01,0.07,0.01,0.00,0.05,0.01,0.01,0.01,0.01,0.00,0.01
chc-lia-nonlin-0009.smt2,2,,,,,,,,,,2,2,,,3,,,,,2,,4,,,3,,2,,,3,1,,,,30.92,7.33,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0010.smt2,,,,,,,,1,,,3,3,,,5,,,,4,8,,9,,,4,4,,,,5,1,,,,22.76,8.02,sat,0.03,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,
