index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_concretize,SPACER_conj,SPACER_conj_failed,SPACER_conj_success,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_non_local_gen,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_reach_queries,SPACER_num_sync_cvx_cls,SPACER_pob_out_of_gas,SPACER_queries,SPACER_reuse_reach_facts,SPACER_subsume_failed,SPACER_subsume_pob,SPACER_subsume_success,max_memory,memory,result,time,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_global,time_spacer_solve_reach_gen_global_cvx_cls,time_spacer_solve_reach_is_reach
chc-lra-0002.smt2,,,,7,,6,,9,2,1,17,17,,,108,8,541,1,125,1933,4,346,,,237,864,,,1,328,,1,1,,232.24,154.54,sat,14.34,12.49,9.95,,0.17,0.00,0.00,0.09,14.15,3.20,10.87,0.27,0.72,7.82,0.06,0.00,
chc-lra-0003.smt2,,,,6,,7,,,1,,9,8,,,955,17,155,,30,2311,6,1092,,,961,480,,,,1081,,,,,402.86,397.38,timeout,599.01,212.73,188.28,,1.13,0.00,0.00,0.63,230.80,52.30,178.48,3.25,11.73,129.39,0.41,,
chc-lra-0004.smt2,,,,1,,5,,,2,1,13,12,,,723,22,528,2,27,2454,8,862,,,748,436,,,,848,,2,2,,332.14,309.26,timeout,599.10,230.80,214.21,,0.78,0.00,0.00,0.36,242.23,38.50,203.68,1.38,7.15,173.05,0.58,0.00,
chc-lra-0005.smt2,,,,12,,10,,,3,3,18,17,3,1,844,72,620,8,169,5422,144,1098,,,984,2406,,3,4,1086,,131,12,,351.03,350.89,timeout,599.42,352.15,317.06,,1.77,0.00,0.00,0.49,368.90,92.10,276.73,1.99,9.70,227.60,1.14,0.00,
chc-lra-0006.smt2,,3,,17,,30,,,2,1,15,14,,1,911,84,759,22,74,5066,101,1094,,,1008,1706,,,3,1080,,43,23,,370.11,359.40,timeout,598.78,366.36,331.76,,2.18,0.00,0.00,0.50,384.25,92.93,291.27,2.08,10.27,239.34,1.36,0.00,
chc-lra-0007.smt2,,7,,16,,14,,,3,2,23,22,,1,834,222,2211,41,204,12669,45,1311,,,1184,6482,,2,7,1306,,95,44,,381.90,364.38,timeout,599.18,574.69,503.34,,4.44,0.00,0.00,0.68,598.17,197.82,400.26,2.99,11.16,321.95,1.98,0.00,
chc-lra-0009.smt2,,,,2,2,,,3,1,1,4,4,,,142,,,1,148,438,,205,,,195,334,3,,,200,3,,1,1,191.56,117.81,sat,5.37,4.27,2.91,,0.02,0.00,0.00,0.05,4.97,0.90,4.06,0.17,0.33,2.35,0.02,0.00,0.01
chc-lra-0010.smt2,,,,2,2,,,2,1,,4,4,,,106,,1,,121,237,,158,,,151,171,2,,,153,2,,,,127.60,76.68,sat,3.09,2.35,1.65,,0.01,0.00,0.00,0.04,2.80,0.38,2.40,0.13,0.18,1.34,0.01,,0.00
chc-lra-0011.smt2,,,,,,,,8,,,10,10,,,126,,117,,74,675,2,207,,,125,350,,,,196,,,,,218.92,149.33,sat,9.72,8.69,7.00,,0.03,0.00,0.00,0.04,9.48,1.25,8.20,0.15,0.33,6.59,0.01,,
chc-lra-0012.smt2,,,,21,,48,,12,3,3,16,16,2,1,357,,769,13,287,4370,7,1005,,,937,1648,1,2,2,982,1,575,16,1,832.16,512.61,sat,134.81,119.44,101.50,,1.32,0.00,0.00,1.05,133.98,37.98,95.94,2.57,8.64,64.03,0.71,0.00,0.01
chc-lra-0013.smt2,,,,6,6,,,3,1,1,4,4,,,488,,5,1,640,1489,,735,,,725,1315,7,,,730,7,,1,1,684.04,471.38,sat,84.22,73.02,57.59,,0.11,0.00,0.00,0.17,80.53,9.22,71.30,1.13,5.17,51.76,0.10,0.00,0.02
chc-lra-0014.smt2,,,,5,3,2,,3,3,1,4,4,,,646,,8,6,915,1839,,939,,,935,1825,,,,933,,,6,5,1004.60,658.05,sat,192.16,171.97,135.08,,0.01,0.00,0.00,0.23,184.28,18.04,166.23,1.86,8.91,130.10,0.09,0.00,0.01
chc-lra-0015.smt2,,,,5,3,2,,3,3,1,4,4,,,179,,4,6,257,554,,280,,,277,536,,,,274,,,6,5,257.84,154.94,sat,16.46,14.62,11.74,,0.00,0.00,0.00,0.07,15.85,1.30,14.54,0.30,0.61,10.81,0.03,0.00,0.01
chc-lra-0016.smt2,,,,5,3,2,,3,3,1,4,4,,,681,,5,6,987,2018,,1009,,,1005,2002,,,,1003,,,6,5,1073.04,692.55,sat,243.48,220.56,172.75,,0.01,0.00,0.00,0.25,234.48,23.72,210.75,2.15,10.02,165.90,0.10,0.00,0.02
chc-lra-0017.smt2,,,,6,4,2,,3,1,,4,4,,,194,,1,,334,762,,355,,,351,740,,,,349,,,,,393.64,255.94,sat,25.87,22.64,17.19,,0.01,0.00,0.00,0.10,24.69,2.08,22.60,0.47,1.13,16.11,0.03,,0.02
chc-lra-0018.smt2,,,,3,3,,,2,1,,4,4,,,378,,2,,613,842,,682,,,671,711,3,,,677,3,,,,733.72,492.95,sat,95.22,83.96,69.59,,0.10,0.00,0.00,0.21,91.52,5.80,85.71,1.43,5.05,61.49,0.04,,0.02
chc-lra-0019.smt2,,,,5,3,2,,3,1,,4,4,,,222,,4,,335,696,,352,,,347,680,,,,346,,,,,370.80,247.53,sat,21.69,18.35,13.50,,0.00,0.00,0.00,0.09,20.49,1.64,18.83,0.56,1.15,12.78,0.03,,0.01
chc-lra-0020.smt2,,,,2,2,,,3,4,1,4,4,,,526,,3,4,919,2083,4,1010,,,1010,1920,4,,,1005,4,,4,2,1066.08,678.61,sat,206.80,184.84,142.74,,0.19,0.00,0.00,0.31,198.97,20.81,178.15,2.31,10.00,127.36,0.14,0.00,0.01
chc-lra-0021.smt2,,,,2,2,,,2,1,,4,4,,,479,,1,,887,1261,,985,,,975,1066,2,,,980,2,,,,925.92,594.60,sat,175.88,155.07,128.86,,0.21,0.00,0.00,0.33,169.69,10.09,159.60,2.63,10.45,113.29,0.05,,0.03
chc-lra-0022.smt2,7,,23,11,,14,,,11,3,7,7,1,,745,12,94,50,79,2930,14,795,,39,839,1328,7,1,,764,2,75,61,1,1058.72,643.96,unsat,155.81,144.39,120.20,,1.08,0.00,0.00,0.34,155.39,46.13,109.23,1.77,5.67,79.84,1.32,0.00,0.23
chc-lra-0023.smt2,,,80,10,,11,,5,6,1,8,8,,,148,,27,2,641,4351,1,793,,84,777,3093,80,,,772,80,2,8,,1443.00,931.86,sat,163.21,149.01,117.45,,1.06,0.00,0.00,0.52,160.96,31.49,129.45,1.81,6.13,91.00,1.40,0.00,0.27
chc-lra-0024.smt2,,,,35,5,44,,,2,,11,10,,,679,1,421,,41,2045,5,777,,,684,510,1,,2,752,1,,,,369.30,369.19,timeout,599.41,143.40,125.01,,0.45,0.00,0.00,0.20,151.14,25.37,125.74,1.00,4.73,103.35,0.34,,0.01
chc-lra-0025.smt2,,,,5,3,2,,3,1,,4,4,,,839,,1,,1361,2897,,1391,,,1386,2855,,,,1385,,,,,1952.68,1271.31,sat,583.38,530.29,427.45,,0.06,0.00,0.00,0.84,564.44,36.45,527.98,6.30,24.80,404.17,0.10,,0.06
chc-lra-0026.smt2,7,,,2,,,,,2,,7,7,,,216,,42,,29,679,3,301,,,223,319,7,,,301,1,,,,322.68,187.42,unsat,14.19,12.71,9.63,,0.07,0.00,0.00,0.11,14.03,3.37,10.64,0.41,0.52,6.97,0.05,,0.12
chc-lra-0027.smt2,,,400,2,,1,,4,3,1,7,7,,,176,,46,,288,1090,3,486,,62,385,642,399,,,478,399,,3,,812.00,495.71,sat,63.04,58.10,46.44,,0.17,0.00,0.00,0.45,62.08,5.71,56.35,0.77,1.47,24.87,0.25,0.00,1.39
chc-lra-0028.smt2,,,,,,,,3,,,5,5,,,120,,3,,76,331,4,206,,,121,184,,,,200,,,,,134.96,77.98,sat,4.57,3.84,3.16,,0.01,0.00,0.00,0.07,4.42,0.61,3.79,0.22,0.21,2.21,0.02,,
chc-lra-0029.smt2,,,,15,12,4,,10,2,,16,16,,,93,,118,,103,1171,4,191,,,132,755,15,,1,182,12,,,,191.12,124.56,sat,5.01,4.12,2.92,,0.04,0.00,0.00,0.04,4.80,1.57,3.18,0.14,0.23,1.96,0.04,,0.02
chc-lra-0030.smt2,,,,1,1,,,,1,,4,3,,,282,,2,,31,392,,289,,,286,136,1,,,285,1,,,,361.60,361.22,timeout,598.86,17.59,14.48,,0.00,0.01,0.00,0.12,19.30,3.69,15.60,0.59,0.81,10.04,0.02,,0.00
chc-lra-0031.smt2,,,,2,2,,,,1,,4,3,,,279,,,,49,447,,284,,,280,212,2,,,280,2,,,,323.52,319.13,timeout,598.49,18.36,15.31,,0.00,0.01,0.00,0.11,20.12,3.68,16.42,0.64,0.83,10.59,0.01,,0.01
chc-lra-0032.smt2,,,,4,4,,,3,4,1,4,4,,,1237,,2,4,1527,3564,,1724,,,1722,3186,6,,,1719,6,,4,2,1712.88,1121.32,sat,523.52,461.82,364.41,,0.64,0.00,0.00,0.66,502.51,54.59,447.91,6.25,30.83,310.97,0.21,0.00,0.06
chc-lra-0033.smt2,,,,2,2,,,2,1,,4,4,,,520,,,,888,1413,,1072,,,1062,1046,2,,,1067,2,,,,1030.56,628.97,sat,184.31,160.89,130.56,,0.42,0.00,0.00,0.40,177.62,18.04,159.58,3.08,11.84,102.94,0.06,,0.00
chc-lra-0034.smt2,,,,4,2,2,,,1,,4,3,,,11,,,,6,38,,18,,,15,28,,,,13,,,,,333.67,333.17,timeout,598.95,0.09,0.06,,0.00,0.01,0.00,0.00,0.13,0.03,0.09,0.01,0.00,0.02,0.00,,0.00
chc-lra-0035.smt2,,,,3,,,,16,1,,20,20,,,128,,351,,114,1978,8,400,,,194,925,,,3,392,,,,,191.40,133.00,sat,8.07,6.57,4.98,,0.09,0.00,0.00,0.08,7.91,2.06,5.78,0.27,0.59,3.54,0.01,,
chc-lra-0036.smt2,,,,2,2,,,,1,,4,3,,,239,,2,,74,506,,247,,,245,336,2,,,243,2,,,,348.07,347.31,timeout,598.81,15.33,11.80,,0.00,0.01,0.01,0.13,16.73,3.78,12.94,0.58,0.56,7.84,0.02,,0.01
chc-lra-0037.smt2,,,,69,,135,,,2,1,15,14,,2,1181,,1090,2,7,6073,37,1363,,,1402,2048,7,,22,1399,1,266,20,1,425.40,414.76,timeout,599.12,530.24,484.14,,2.58,0.00,0.00,0.46,560.14,112.16,447.93,3.06,19.75,358.15,2.10,0.00,0.19
chc-lra-0038.smt2,,,,46,22,22,,14,4,1,22,22,,,252,,463,4,274,5274,4,453,,,390,3620,22,,10,464,22,3,5,,700.04,471.90,sat,49.54,44.89,32.40,,0.52,0.00,0.00,0.11,48.59,25.79,22.71,0.53,1.58,16.08,0.19,0.00,0.04
chc-lra-0039.smt2,,,,1,1,,,2,1,,4,4,,,203,,,,318,716,,372,,,364,595,1,,,367,1,,,,1961.20,1285.50,sat,140.12,117.24,86.01,,0.09,0.01,0.01,0.42,122.90,10.51,112.38,1.61,3.19,75.54,0.04,,0.00
chc-lra-0040.smt2,,,,2,,,,1,1,,2,2,,,47,,,,14,71,,65,,,60,21,,,,62,,,,,219.68,128.39,sat,3.31,1.74,1.40,,0.00,0.01,0.00,0.07,2.04,0.71,1.33,0.23,0.03,0.15,0.01,,
chc-lra-0041.smt2,,,,8,,,,1,1,,2,2,,,46,,,,14,85,,79,,,80,21,,,,76,,,,,234.40,138.44,sat,4.01,2.50,2.05,,0.00,0.01,0.00,0.10,2.91,0.98,1.93,0.31,0.05,0.23,0.01,,
chc-lra-0042.smt2,,,,5,,,,1,1,,2,2,,,53,,,,14,85,,79,,,77,21,,,,76,,,,,231.32,136.12,sat,3.91,2.45,1.99,,0.00,0.01,0.00,0.08,2.82,1.03,1.78,0.28,0.04,0.19,0.01,,
chc-lra-0043.smt2,,,,4,,,,1,3,1,3,3,,,287,,2,,301,196,1,363,,,360,101,,,,350,,11,11,,505.32,304.04,sat,31.04,26.72,23.02,,0.03,0.01,0.00,0.38,29.60,1.51,28.08,1.53,0.91,18.58,0.15,0.00,
chc-lra-0044.smt2,,,,4,,1,,1,3,1,3,3,,,238,,,,222,167,,289,,,283,59,,,,276,,8,8,,452.24,275.82,sat,23.76,20.36,17.80,,0.04,0.01,0.00,0.33,22.42,1.98,20.44,1.18,0.54,13.64,0.08,0.00,
chc-lra-0045.smt2,,,,4,2,2,,,1,,4,3,,,63,,,,51,235,,71,,,70,218,,,,66,,,,,395.72,395.67,timeout,598.49,3.54,2.65,,0.00,0.01,0.01,0.03,3.83,0.51,3.32,0.14,0.06,2.38,0.01,,0.01
