index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_concretize,SPACER_conj,SPACER_conj_failed,SPACER_conj_success,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_non_local_gen,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_reach_queries,SPACER_num_sync_cvx_cls,SPACER_pob_out_of_gas,SPACER_queries,SPACER_reuse_reach_facts,SPACER_subsume_failed,SPACER_subsume_pob,SPACER_subsume_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_global,time_spacer_solve_reach_gen_global_cvx_cls,time_spacer_solve_reach_is_reach
chc-lra-0002.smt2,,,,1,,,,10,2,,16,16,,,99,1,430,,73,1185,5,261,,,187,359,,,1,253,,,,,175.84,117.55,sat,7.14,0.40,0.13,0.21,0.05,0.09,5.53,4.41,,0.09,0.00,0.00,0.07,6.99,1.25,5.67,0.19,0.45,3.54,0.04,,
chc-lra-0003.smt2,,,,10,3,19,,,1,,11,10,,7,1093,21,402,,27,4512,3,1266,,,1039,1431,4,,,1254,1,,,,462.31,460.58,timeout,599.21,6.84,3.12,4.38,0.77,1.23,368.06,320.99,,4.81,0.00,0.00,0.78,405.66,122.87,282.75,4.79,18.36,196.16,0.76,,0.16
chc-lra-0004.smt2,,,,6,,6,,,4,2,41,40,,,910,116,755,12,180,10567,63,1203,,2,1124,6178,,6,1,1204,,364,18,,390.09,388.27,timeout,598.70,3.88,1.46,2.36,0.52,0.64,549.96,475.41,,3.83,0.00,0.00,0.62,576.79,205.90,370.72,2.92,12.17,291.15,1.28,0.00,
chc-lra-0005.smt2,,,,9,,14,,,4,2,27,26,,,904,81,568,11,76,5091,95,1089,,,1035,2135,,7,5,1118,,14,18,7,342.73,333.91,timeout,599.18,3.79,1.35,2.25,0.56,0.63,499.06,451.96,,1.47,0.00,0.00,0.56,521.30,93.71,427.47,2.14,11.31,364.01,1.08,0.00,0.01
chc-lra-0006.smt2,,1,,1,,3,,,4,2,24,23,,,1263,442,211,37,123,2920,105,1387,,44,1358,742,,10,1,1375,,136,47,10,458.35,434.69,timeout,599.25,4.97,1.65,2.86,0.69,0.95,486.51,421.90,,1.39,0.00,0.00,0.83,517.14,101.24,415.81,3.48,14.66,320.99,3.74,0.00,0.01
chc-lra-0007.smt2,,,,17,,24,,,2,1,29,28,,1,917,163,989,18,110,5098,107,1187,,1,1165,1391,,,8,1229,,134,19,,396.38,386.45,timeout,598.71,4.43,1.80,2.77,0.61,0.66,481.68,435.00,,2.69,0.00,0.00,0.66,508.67,118.23,390.32,2.65,12.72,316.28,2.08,0.00,
chc-lra-0009.smt2,,,,1,,2,,3,1,1,4,4,,,210,,2,2,279,594,,295,,,290,583,2,,,289,2,,2,2,267.84,170.98,sat,14.02,0.67,0.20,0.34,0.07,0.21,11.09,8.10,,0.00,0.00,0.00,0.06,13.18,1.32,11.84,0.30,0.79,7.87,0.02,0.00,0.00
chc-lra-0010.smt2,,,,2,2,,,3,1,,4,4,,,94,,3,,147,326,,163,,,157,317,2,,,158,2,,,,187.16,113.69,sat,4.94,0.54,0.17,0.30,0.05,0.14,3.54,2.41,,0.00,0.00,0.00,0.04,4.59,0.42,4.15,0.13,0.22,2.42,0.01,,0.00
chc-lra-0011.smt2,,,,,,,,8,,,11,11,,,127,,141,,82,776,,201,,,116,392,,,,189,,,,,236.92,158.75,sat,11.82,0.70,0.22,0.42,0.07,0.15,10.02,8.18,,0.05,0.00,0.00,0.04,11.56,1.64,9.89,0.15,0.34,7.53,0.00,,
chc-lra-0012.smt2,,,,31,,100,,,2,1,16,15,,8,1329,12,849,30,47,5143,2,1543,,,1461,1534,18,,7,1533,11,608,38,11,432.64,427.95,timeout,598.90,6.08,1.62,3.00,0.73,1.85,346.40,287.79,,2.95,0.00,0.00,1.41,386.35,101.39,284.90,4.66,21.79,191.09,2.01,0.00,0.23
chc-lra-0013.smt2,,,,2,2,,,3,1,,4,4,,,341,,3,,632,1307,,657,,,651,1298,2,,,652,2,,,,670.56,471.41,sat,71.21,2.84,1.21,1.86,0.19,0.60,58.89,43.35,,0.00,0.00,0.00,0.19,68.23,6.57,61.65,1.08,4.38,42.11,0.21,,0.00
chc-lra-0014.smt2,,,,2,2,,,3,3,1,4,4,,,472,,2,7,636,1286,10,654,,,650,1277,,,,649,,,7,6,702.96,487.45,sat,76.13,2.72,0.89,1.55,0.30,0.67,63.47,48.62,,0.00,0.00,0.00,0.16,72.31,6.05,66.25,1.04,4.15,47.06,0.06,0.00,0.01
chc-lra-0015.smt2,,,,2,2,,,3,3,1,4,4,,,185,,3,6,300,619,,318,,,315,610,,,,314,,,6,5,295.76,175.02,sat,22.63,0.55,0.15,0.27,0.07,0.16,19.74,16.47,,0.00,0.00,0.00,0.08,21.86,1.26,20.59,0.37,0.82,15.24,0.03,0.00,0.01
chc-lra-0016.smt2,,,,2,2,,,3,3,1,4,4,,,637,,3,6,940,1903,,961,,,957,1894,,,,956,,,6,5,1049.04,672.42,sat,212.05,5.32,2.10,3.34,0.52,1.07,185.87,146.87,,0.01,0.00,0.00,0.25,204.30,19.22,185.07,2.04,9.33,140.49,0.10,0.00,0.02
chc-lra-0017.smt2,,,,2,2,,,3,1,,4,4,,,205,,2,,318,686,,337,,,331,677,,,,332,,,,,409.00,271.97,sat,29.46,2.30,0.91,1.55,0.16,0.44,23.87,16.48,,0.00,0.00,0.00,0.10,28.16,2.80,25.35,0.48,1.06,16.57,0.02,,0.01
chc-lra-0018.smt2,,,,2,2,,,3,1,,4,4,,,383,,2,,626,1291,,643,,,637,1282,2,,,638,2,,,,878.08,593.07,sat,118.05,4.97,2.03,3.19,0.42,1.04,101.37,75.50,,0.00,0.00,0.00,0.22,113.57,9.50,104.06,1.46,4.60,76.05,0.04,,0.20
chc-lra-0019.smt2,,,,2,2,,,3,1,,4,4,,,226,,2,,394,829,,414,,,408,820,,,,409,,,,,496.76,326.96,sat,40.91,4.10,1.76,2.88,0.26,0.71,32.34,22.00,,0.00,0.00,0.00,0.12,39.37,3.27,36.08,0.68,1.62,23.10,0.03,,0.01
chc-lra-0020.smt2,,,,1,1,,,3,4,1,4,4,,,617,,2,6,1544,3142,,1574,,,1572,3133,5,,,1569,5,,6,4,1793.84,1165.17,sat,535.80,26.14,11.58,18.99,0.93,4.61,458.93,324.32,,0.01,0.00,0.00,0.50,519.90,57.75,462.13,5.39,25.86,318.51,0.32,0.00,0.01
chc-lra-0021.smt2,,,,2,2,,,3,1,,4,4,,,671,,3,,1037,2122,,1057,,,1051,2113,2,,,1052,2,,,,1389.12,957.92,sat,273.71,12.82,5.48,8.87,0.73,2.43,232.13,165.12,,0.01,0.00,0.00,0.34,262.56,29.74,232.81,3.20,12.41,162.37,0.06,,0.02
chc-lra-0022.smt2,7,,15,1,,2,,,1,,7,7,,,252,,70,,40,652,9,275,,9,266,314,7,,,268,1,,,,473.20,302.85,unsat,31.34,3.13,1.32,2.27,0.08,0.60,26.23,19.01,,0.07,0.00,0.00,0.16,31.11,3.40,27.69,0.54,0.63,18.57,0.06,,0.17
chc-lra-0023.smt2,,,40,,,,,6,3,1,8,8,,,212,,34,1,297,1863,19,437,,13,417,1081,40,,,428,40,,1,,750.12,500.33,sat,73.45,7.33,3.03,5.51,0.15,1.27,61.12,45.78,,0.44,0.00,0.00,0.20,72.34,15.13,57.19,0.80,1.67,35.48,0.15,0.00,0.08
