index,SPACER_cex_depth,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,result,time,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
chc-lra-0002.smt2,,,8,15,15,95,320,109,1356,17,296,207,527,286,,,195.08,131.41,sat,9.78,8.93,7.26,,0.13,0.00,0.00,0.08,9.62,2.42,7.15,0.24,5.44,
chc-lra-0003.smt2,,,,9,8,1141,113,38,2624,6,1272,1131,581,1263,,,432.87,428.36,timeout,598.88,318.75,283.55,,1.52,0.00,0.00,0.90,326.63,83.67,242.93,4.46,189.10,
chc-lra-0004.smt2,,,,15,14,827,797,38,3628,18,1033,921,846,1022,,,331.78,310.14,timeout,599.31,325.82,300.07,,1.17,0.00,0.00,0.48,330.85,60.61,270.19,1.84,237.56,
chc-lra-0005.smt2,,,,17,16,934,943,81,6179,32,1277,1101,2275,1263,,,312.19,308.16,timeout,599.21,550.50,498.99,,2.51,0.00,0.00,0.64,558.42,130.80,427.57,2.74,369.52,
chc-lra-0006.smt2,,,,13,12,846,564,41,2982,18,970,847,629,958,,,327.32,311.46,timeout,599.45,257.99,235.17,,1.22,0.00,0.00,0.46,262.67,53.53,209.10,1.75,179.98,
chc-lra-0007.smt2,,,,19,18,884,929,18,6817,15,1422,1212,2446,1412,,,313.32,307.65,timeout,598.76,583.21,524.53,,2.68,0.00,0.00,0.70,591.73,146.48,445.19,2.97,381.66,
chc-lra-0009.smt2,,,3,4,4,233,2,285,606,,297,290,592,292,,,343.96,222.32,sat,13.85,12.09,8.85,,0.00,0.00,0.00,0.07,12.72,1.38,11.33,0.31,8.77,
chc-lra-0010.smt2,,,3,4,4,95,4,133,291,,150,143,279,145,,,134.60,85.37,sat,3.34,2.80,1.90,,0.00,0.00,0.00,0.03,3.05,0.40,2.64,0.12,1.87,
chc-lra-0011.smt2,,,8,11,11,119,95,80,728,,203,128,388,191,,,220.24,149.61,sat,10.22,9.47,7.64,,0.04,0.00,0.00,0.04,9.96,1.61,8.32,0.15,6.98,
chc-lra-0012.smt2,,,,14,13,1387,557,69,4364,39,1589,1397,1106,1578,,,360.17,340.49,timeout,599.10,391.74,340.30,,2.26,0.00,0.00,1.42,400.84,94.65,306.15,4.34,240.03,
chc-lra-0013.smt2,,,3,4,4,418,4,593,1226,,613,606,1214,608,,,666.00,466.84,sat,65.52,60.42,43.51,,0.00,0.00,0.00,0.16,62.26,8.04,54.21,0.95,43.31,
chc-lra-0014.smt2,,,3,4,4,552,6,761,1543,,780,773,1531,775,,,813.64,565.38,sat,126.51,118.75,93.35,,0.00,0.00,0.00,0.20,121.37,12.37,108.98,1.37,90.60,
chc-lra-0015.smt2,,,3,4,4,188,4,307,658,2,324,316,640,319,,,283.04,175.59,sat,22.94,21.29,17.30,,0.01,0.00,0.00,0.08,22.08,1.62,20.45,0.39,16.24,
chc-lra-0016.smt2,,,3,4,4,732,3,1215,2473,1,1237,1230,2461,1232,,,1416.56,990.18,sat,377.97,360.00,281.04,,0.01,0.00,0.00,0.36,365.53,37.50,328.02,3.10,273.87,
chc-lra-0017.smt2,,,3,4,4,184,2,277,627,,293,286,615,288,,,376.56,238.01,sat,16.95,15.05,10.48,,0.00,0.00,0.00,0.08,15.74,1.54,14.19,0.37,10.33,
chc-lra-0018.smt2,,,3,4,4,292,2,561,1175,,576,569,1163,571,,,702.84,481.16,sat,70.35,65.66,46.66,,0.00,0.00,0.00,0.17,67.62,9.42,58.20,1.16,45.03,
chc-lra-0019.smt2,,,3,4,4,218,2,401,856,,417,410,844,412,,,463.00,306.58,sat,33.02,30.13,21.38,,0.00,0.00,0.00,0.11,31.30,2.93,28.36,0.63,21.77,
chc-lra-0020.smt2,,,,4,3,9,5,5,32,,15,10,23,11,,,338.45,337.91,timeout,598.96,0.09,0.05,,0.00,0.00,0.00,0.00,0.11,0.02,0.08,0.01,0.04,
chc-lra-0021.smt2,,,3,4,4,557,1,1106,2284,,1121,1114,2272,1116,,,1404.60,967.44,sat,311.49,294.89,222.61,,0.01,0.00,0.00,0.62,300.76,35.55,265.20,3.81,212.25,
chc-lra-0022.smt2,7,,,7,7,504,45,26,1850,15,556,545,756,555,7,1,607.20,373.46,unsat,64.89,62.40,52.17,,0.38,0.00,0.00,0.24,64.60,18.87,45.71,1.11,34.92,0.17
chc-lra-0023.smt2,,,5,8,8,209,31,684,3382,35,832,807,1847,823,,,960.20,639.12,sat,156.57,149.44,119.68,,1.12,0.00,0.00,0.39,153.89,39.75,114.11,1.89,89.91,
chc-lra-0024.smt2,,,,9,8,959,256,115,3006,8,1057,965,1180,1048,,,345.12,344.71,timeout,598.87,431.75,379.67,,0.90,0.00,0.00,0.30,436.61,77.68,358.91,1.74,315.24,
