index,SPACER_cex_depth,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
chc-lra-0002.smt2,,,9,16,16,105,463,86,1204,8,265,182,376,252,,,180.88,122.27,sat,6.23,0.36,0.12,0.20,0.05,0.08,5.24,4.18,,0.08,0.00,0.00,0.06,6.11,1.08,4.96,0.17,3.54,
chc-lra-0003.smt2,,,,11,10,1382,477,28,4168,4,1590,1337,938,1579,,,556.93,555.56,timeout,598.84,8.80,4.13,5.75,1.07,1.43,433.91,388.20,,3.81,0.00,0.00,0.98,454.80,120.15,334.61,6.10,255.45,
chc-lra-0004.smt2,,,,36,35,1003,1581,160,10382,102,1359,1237,4300,1356,,,392.78,390.96,timeout,599.27,4.94,2.02,3.17,0.66,0.71,552.85,496.30,,4.68,0.00,0.00,0.63,567.91,200.62,367.17,2.81,306.13,
chc-lra-0005.smt2,,,,29,28,921,1253,187,7463,91,1271,1022,3119,1259,,,361.00,359.03,timeout,598.96,5.05,1.82,2.95,0.66,1.03,491.32,439.35,,2.67,0.00,0.00,0.58,503.90,123.18,380.62,2.41,324.22,
chc-lra-0006.smt2,,,,26,25,1136,1074,118,6289,346,1302,1206,2887,1291,,,430.72,428.86,timeout,599.10,4.00,1.31,2.40,0.60,0.62,442.92,400.32,,2.52,0.00,0.00,0.67,454.56,99.14,355.34,2.89,299.06,
chc-lra-0007.smt2,,,,33,32,926,1181,79,7852,14,1408,1227,2866,1386,,,382.00,380.13,timeout,599.25,4.13,1.39,2.41,0.62,0.69,424.11,380.37,,2.61,0.00,0.00,0.72,436.14,125.79,310.24,2.84,256.06,
chc-lra-0009.smt2,,,3,4,4,211,2,296,610,1,311,306,601,308,,,315.40,222.97,sat,13.34,0.74,0.26,0.43,0.07,0.18,10.99,8.23,,0.00,0.00,0.00,0.07,12.35,1.17,11.17,0.32,8.20,
chc-lra-0010.smt2,,,3,4,4,109,3,155,344,,171,164,335,166,,,184.08,122.29,sat,4.76,0.45,0.15,0.25,0.06,0.10,3.66,2.40,,0.00,0.00,0.00,0.04,4.40,0.54,3.85,0.14,2.48,
chc-lra-0011.smt2,,,8,11,11,127,141,82,776,,201,116,392,189,,,235.68,158.45,sat,8.76,0.68,0.22,0.41,0.06,0.15,7.41,5.97,,0.04,0.00,0.00,0.04,8.52,1.30,7.19,0.14,5.51,
chc-lra-0012.smt2,,,,12,11,1655,213,20,3260,2,1835,1718,576,1823,,,370.01,368.11,timeout,598.43,4.66,1.36,2.42,0.80,0.94,386.66,337.08,,1.32,0.00,0.00,1.63,400.56,91.96,308.57,5.58,233.91,
