index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0000.smt2,,,2,,,,1,1,,2,,,,2,1,,3,,,,,,,3,1,2,,,,,,,,17.84,6.41,sat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
chc-lia-0001.smt2,,838,,,144,1,194,193,,229,,7414,7347,,16611,,8238,,69,628,,,,126,4522,8641,,7943,,,35,267,,210.28,203.57,timeout,595.29,5.21,1.13,2.51,1.05,0.74,398.60,178.13,,0.86,0.00,0.00,1.07,588.19,35.41,551.87,4.06,13.57,0.00,295.05,0.10,295.05,0.13
chc-lia-0002.smt2,,77,,100,50,1,102,102,,155,5048,5127,95,61,6906,5,5392,,10,31,,,,234,1506,5324,,39,,,,141,37,466.40,297.81,sat,110.93,2.51,0.71,1.30,0.15,0.50,92.62,40.42,,0.24,0.00,0.00,0.74,110.71,4.34,106.02,2.47,3.77,30.93,7.79,0.00,7.79,
chc-lia-0003.smt2,,5438,17,1,104,,108,108,,6,,7726,,160,8637,1,5781,,,,,,5458,108,311,5674,,,,,,,,528.36,335.29,sat,161.93,5.29,1.55,2.52,0.90,0.87,112.98,31.68,0.88,0.87,0.00,0.00,3.84,161.56,9.23,151.93,8.67,14.33,7.17,14.78,,14.78,
chc-lia-0004.smt2,,124,66,44,15,2,44,44,,48,,86,112,15,488,15,297,,24,126,,,,106,234,264,,156,,4,,125,1,58.28,33.91,sat,1.79,0.15,0.04,0.07,0.03,0.03,0.68,0.25,0.08,0.00,0.00,0.00,0.03,1.76,0.18,1.38,0.09,0.16,0.00,0.54,0.00,0.54,0.00
chc-lia-0005.smt2,,211,405,81,36,2,81,81,,85,,230,816,20,2039,20,1092,,56,328,,,,155,941,1147,,897,,12,3,277,1,139.36,89.19,sat,12.47,0.72,0.17,0.37,0.12,0.12,6.31,2.02,1.29,0.03,0.00,0.00,0.20,12.41,1.39,10.63,0.52,0.82,0.00,5.16,0.01,5.16,0.03
chc-lia-0006.smt2,,219,176,,138,,23,22,,52,,244,,,477,,276,,,,,,229,27,56,266,13,,13,,,,,104.01,104.01,timeout,599.84,0.42,0.12,0.20,0.09,0.09,402.63,393.12,6.68,0.02,0.00,0.00,0.07,411.79,59.58,352.11,0.14,4.11,38.92,4.19,,4.19,0.15
chc-lia-0007.smt2,,,,7,3,1,14,14,,14,,49,49,13,125,,81,,1,2,,,,14,34,65,,,,,,,,32.56,15.55,sat,0.55,0.06,0.02,0.03,0.01,0.01,0.22,0.13,,0.00,0.00,0.00,0.01,0.53,0.03,0.44,0.02,0.05,0.09,0.13,0.00,0.13,
chc-lia-0008.smt2,,8373,,,130,,131,130,,131,,8514,,,8645,,8646,,,,,,8383,131,,8515,,,,,,,,225.00,224.79,timeout,596.05,8.14,0.72,2.49,2.82,1.46,279.07,57.19,,0.63,0.00,0.00,1.42,586.53,2.79,583.25,6.45,140.75,26.93,144.24,,144.24,
chc-lia-0009.smt2,,746,971,,716,1,12,11,,236,29,404,,,831,,798,,46,6,,,713,412,17,834,1,40,1,,,,,158.35,158.35,timeout,599.54,0.92,0.42,0.60,0.03,0.17,41.62,18.34,17.83,0.06,0.00,0.00,0.15,575.66,4.96,570.65,0.93,262.24,12.19,270.07,0.00,270.07,0.83
