index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_abstractions,SPACER_num_abstractions_failed,SPACER_num_abstractions_success,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0000.smt2,,,2,,,,1,1,,,,,2,,,,2,1,,3,,,,,,,3,1,2,,,,,,,,17.84,6.41,sat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
chc-lia-0001.smt2,,9,,22,5,1,24,24,,19,17,1,24,,24,12,6,101,3,56,,4,8,,,,18,34,42,,19,,,1,12,,25.00,10.52,sat,0.25,0.01,0.00,0.01,0.00,0.00,0.05,0.03,,0.00,0.00,0.00,0.00,0.24,0.02,0.12,0.01,0.02,0.00,0.03,0.00,0.03,0.01
chc-lia-0002.smt2,,77,,100,50,1,102,102,,20,,,155,5048,5127,95,61,6906,5,5392,,10,31,,,,284,1506,5394,,39,,,20,141,37,466.92,298.03,sat,67.72,1.96,0.50,1.00,0.12,0.41,52.60,24.12,,0.22,0.00,0.00,0.62,67.52,2.57,64.60,2.15,3.65,18.49,5.42,0.00,5.42,0.08
chc-lia-0003.smt2,,5438,17,1,104,,108,108,,,,,6,,7726,,160,8637,1,5781,,,,,,5458,108,311,5674,,,,,,,,528.36,335.29,sat,116.12,4.50,1.27,2.15,0.80,0.75,74.81,20.80,0.59,0.84,0.00,0.00,3.28,115.80,7.20,108.19,7.56,11.90,3.90,12.64,,12.64,
chc-lia-0004.smt2,,656,1301,199,98,3,199,199,62,110,107,,203,,3098,6956,17,8151,20,7815,,157,3309,,,,560,2596,7982,,7195,,111,18,1029,1,724.84,522.29,sat,292.44,9.72,1.79,6.39,1.08,1.04,195.96,67.42,21.37,0.30,0.00,0.00,2.63,292.17,13.93,277.20,6.70,10.07,0.06,137.44,0.08,137.44,0.71
chc-lia-0005.smt2,,199,177,74,24,2,77,77,,38,35,1,78,,294,645,20,1637,17,920,,47,410,,,,162,800,916,,739,,25,,431,,129.28,81.37,sat,8.20,0.53,0.12,0.27,0.09,0.09,4.16,1.71,0.43,0.03,0.00,0.00,0.14,8.15,0.81,6.96,0.38,0.53,0.00,3.07,0.00,3.07,0.05
chc-lia-0006.smt2,,219,176,,138,,23,22,,,,,52,,244,,,477,,276,,,,,,229,27,56,266,13,,13,,,,,104.31,104.31,timeout,599.88,0.39,0.12,0.19,0.08,0.08,389.79,381.00,6.19,0.02,0.00,0.00,0.06,398.68,57.22,341.37,0.13,4.02,38.01,4.10,,4.10,0.14
chc-lia-0007.smt2,,,,11,3,1,22,22,,90,83,,18,,121,121,17,237,,165,,1,2,,,,28,50,142,84,,83,,7,,,62.48,35.56,sat,1.77,0.28,0.08,0.14,0.02,0.10,0.90,0.56,,0.00,0.00,0.00,0.02,1.74,0.06,1.58,0.04,0.10,0.31,0.33,0.00,0.33,0.14
chc-lia-0008.smt2,,9168,,,136,,137,136,,,,,137,,9315,,,9452,,9453,,,,,,9178,137,,9316,,,,,,,,287.86,287.64,timeout,595.65,7.92,0.71,2.57,2.74,1.45,237.16,39.62,,0.70,0.00,0.00,1.21,581.50,2.98,578.02,6.21,159.69,16.64,163.66,,163.66,
chc-lia-0009.smt2,,746,971,,716,1,12,11,,,,,236,29,404,,,831,,798,,46,6,,,713,412,17,834,1,40,1,,,,,167.32,167.10,timeout,599.76,0.84,0.38,0.55,0.03,0.15,33.26,14.97,13.96,0.05,0.00,0.00,0.13,545.62,4.14,541.43,0.84,251.86,9.27,258.94,0.00,258.94,0.65
