index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_num_under_approximations,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0000.smt2,,,2,,,,1,1,,2,,,,2,1,,3,,,,,,,3,1,2,,,,,,,,,17.84,6.41,sat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
chc-lia-0001.smt2,,833,,,141,1,191,190,,226,,7146,7081,,16130,,7967,,69,628,,,,124,4417,8373,,7677,,,,35,264,,206.78,206.57,timeout,595.20,5.38,1.21,2.59,1.08,0.77,404.91,181.58,,0.91,0.00,0.00,1.12,587.76,37.89,548.96,4.17,13.60,0.00,288.68,0.11,288.68,0.15
chc-lia-0002.smt2,,77,,100,50,1,102,102,,155,5048,5127,95,61,6906,5,5392,,10,31,,,,234,1506,5324,,39,,,,,141,37,466.40,297.81,sat,107.85,2.49,0.69,1.28,0.15,0.49,89.69,39.01,,0.24,0.00,0.00,0.74,107.63,4.47,102.81,2.46,3.79,29.83,7.70,0.00,7.70,
chc-lia-0003.smt2,,,,,3,,5,5,,5,,8,,15,16,,30,,,,,,3,16,1,18,,,,,6,,,,22.44,9.44,sat,0.09,0.01,0.00,0.00,0.00,0.00,0.03,0.01,,0.00,0.00,0.00,0.00,0.08,0.00,0.06,0.00,0.01,0.01,0.00,,0.00,
chc-lia-0004.smt2,,124,66,44,15,2,44,44,,48,,86,112,15,488,15,297,,24,126,,,,106,234,264,,156,,4,,,125,1,58.28,33.91,sat,1.93,0.16,0.04,0.07,0.03,0.03,0.75,0.27,0.09,0.00,0.00,0.00,0.04,1.90,0.19,1.51,0.09,0.17,0.00,0.58,0.00,0.58,0.01
chc-lia-0005.smt2,,211,405,81,36,2,81,81,,85,,230,816,20,2039,20,1092,,56,328,,,,155,941,1147,,897,,12,,3,277,1,139.36,89.19,sat,12.85,0.72,0.17,0.37,0.12,0.12,6.64,2.12,1.34,0.03,0.00,0.00,0.20,12.78,1.43,10.95,0.52,0.82,0.00,5.32,0.01,5.32,0.03
chc-lia-0006.smt2,,,,,4,,4,4,,5,,5,,7,10,,18,,,,,,2,9,1,10,,,,,3,,,,20.24,7.96,sat,0.05,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.04,0.00,0.03,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0007.smt2,,,,7,3,1,14,14,,14,,49,49,13,125,,81,,1,2,,,,14,34,65,,,,,,,,,32.56,15.55,sat,0.54,0.06,0.02,0.03,0.01,0.01,0.21,0.13,,0.00,0.00,0.00,0.01,0.52,0.03,0.43,0.02,0.05,0.09,0.13,0.00,0.13,
chc-lia-0008.smt2,,,,3,7,2,7,7,,8,,10,2,10,58,,35,,,,,,6,19,29,24,,,,1,9,,5,2,24.28,10.40,sat,0.14,0.01,0.00,0.01,0.00,0.00,0.04,0.02,,0.00,0.00,0.00,0.00,0.12,0.01,0.08,0.01,0.01,0.01,0.02,0.00,0.02,
chc-lia-0009.smt2,,742,951,,716,1,12,11,,236,29,395,,,835,,802,,46,10,,,713,309,17,824,1,40,1,,425,,,,170.35,170.13,timeout,599.30,1.02,0.45,0.66,0.03,0.20,45.34,18.08,21.75,0.06,0.00,0.00,0.14,564.51,6.86,557.60,0.87,253.30,14.04,264.11,0.00,264.11,0.71
chc-lia-0010.smt2,,,,1,3,,8,8,,7,,15,,34,62,3,59,,,,,,5,35,24,38,,,,,14,,,,32.08,15.39,sat,0.24,0.03,0.01,0.01,0.01,0.01,0.10,0.05,,0.00,0.00,0.00,0.00,0.22,0.02,0.18,0.01,0.03,0.03,0.01,,0.01,
chc-lia-0012.smt2,,,1,1,3,,9,9,,8,,28,,26,73,1,57,,,,,,2,17,11,42,,,,,6,,,,33.24,15.56,sat,0.28,0.03,0.01,0.01,0.01,0.01,0.13,0.07,0.01,0.00,0.00,0.00,0.01,0.25,0.03,0.20,0.01,0.02,0.06,0.00,,0.00,
chc-lia-0013.smt2,,,,4,3,3,6,6,3,30,,33,6,25,150,13,71,,8,23,2,,,37,58,62,4,3,2,3,,,,,49.92,26.09,sat,0.62,0.10,0.04,0.06,0.01,0.02,0.31,0.19,,0.00,0.00,0.00,0.01,0.59,0.06,0.51,0.02,0.06,0.14,0.05,0.00,0.05,0.01
chc-lia-0014.smt2,,1145,3575,,238,1,80,79,,417,4243,5047,,7,19474,2,5100,,429,,,,,1141,6403,6619,1232,722,1207,,,28,14,,218.57,204.11,timeout,596.48,16.07,3.86,8.54,0.82,5.11,491.93,167.80,165.38,1.97,0.00,0.00,2.87,583.42,110.40,472.64,8.72,21.93,124.02,63.96,0.00,63.96,31.58
chc-lia-0015.smt2,,,,1,6,2,7,7,,6,,18,1,22,50,,44,,,,,,9,25,15,33,,,,1,5,,,,29.20,11.54,sat,0.15,0.01,0.00,0.01,0.00,0.00,0.04,0.02,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.10,0.01,0.02,0.01,0.01,0.00,0.01,
chc-lia-0016.smt2,,862,125,,87,6,95,94,344,796,6,1586,288,10,26041,695,1713,,279,1048,33,39,50,2015,19698,4325,41,428,34,550,43,89,114,8,484.90,470.50,timeout,598.16,3.49,1.19,2.04,0.51,0.60,469.72,303.94,8.36,2.86,0.00,0.00,0.76,500.78,165.29,334.98,5.65,6.13,60.33,48.06,0.01,48.06,7.18
chc-lia-0017.smt2,,,,3,3,1,5,5,,9,,7,1,8,30,,22,,1,4,,,,10,13,15,,,,,,,,,25.80,9.50,sat,0.07,0.01,0.00,0.00,0.00,0.00,0.02,0.01,,0.00,0.00,0.00,0.00,0.06,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,
chc-lia-0018.smt2,,957,2056,,831,1,92,91,,203,,1651,2166,2,6390,,2448,,80,4,,,,80,2073,2362,,2256,,,,1,,,129.18,128.81,timeout,599.44,2.03,0.53,0.96,0.37,0.35,45.91,11.87,12.18,0.55,0.00,0.00,0.75,592.52,12.37,579.71,2.19,264.65,0.00,288.14,0.05,288.14,0.30
